name,artists,id,popularity
drivers license,['Olivia Rodrigo'],7lPN2DXiMsVn7XUKtOW1CS,100
Mood (feat. iann dior),"['24kGoldn', 'iann dior']",3tjFYV6RSFtuktYl3ZtYcq,96
positions,['Ariana Grande'],35mvY5S1H3J2QZyna3TFe0,96
DÁKITI,"['Bad Bunny', 'Jhay Cortez']",47EiUVwUp4C9fGccaPuUCS,95
BICHOTA,['KAROL G'],7vrJn5hDSXRmdXoR30KgF1,95
34+35,['Ariana Grande'],6Im9k8u9iIzKMrmV7BWtlF,94
Whoopty,['CJ'],5vGLcdRuSbUhD8ScwsGSdA,94
WITHOUT YOU,['The Kid LAROI'],27OeeYzk6klgBh83TSvGMA,94
Therefore I Am,['Billie Eilish'],54bFM56PmE4YLRnqpW6Tha,94
LA NOCHE DE ANOCHE,"['Bad Bunny', 'ROSALÍA']",2XIc1pqjXV3Cr2BQUGNBck,94
What You Know Bout Love,['Pop Smoke'],1tkg4EHVoqnhR6iFEXb60y,93
you broke me first,['Tate McRae'],45bE4HXI0AwGZXfZtMp8JR,93
WAP (feat. Megan Thee Stallion),"['Cardi B', 'Megan Thee Stallion']",4Oun2ylbjFKMPTiaSbbCih,92
HOLIDAY,['Lil Nas X'],6zFMeegAMYQo0mt8rXtrli,92
Lonely (with benny blanco),"['Justin Bieber', 'benny blanco']",4y4spB9m0Q6026KfkAvy9Q,92
Anyone,['Justin Bieber'],31qCy5ZaophVA81wtlwLc4,92
The Business,['Tiësto'],6f3Slt0GbA2bPZlz0aIFXN,92
Hecha Pa' Mi,['Boza'],3VvA1wSxukMLsvXoXtlwWx,92
Snowman,['Sia'],7uoFMmxln0GPXQ0AcCBXRq,91
Watermelon Sugar,['Harry Styles'],6UelLqGlWMcVH1E5c4H7lY,91
Good Days,['SZA'],3YJJjQPAbDT7mGpX3WtQ9A,91
For The Night (feat. Lil Baby & DaBaby),"['Pop Smoke', 'Lil Baby', 'DaBaby']",0PvFJmanyNQMseIFrU708S,91
ROCKSTAR (feat. Roddy Ricch),"['DaBaby', 'Roddy Ricch']",7ytR5pFWmSjzHJIeQkgog4,91
Heather,['Conan Gray'],4xqrdfXkTW4T0RauPLv3WA,91
Monster (Shawn Mendes & Justin Bieber),"['Shawn Mendes', 'Justin Bieber']",2Z8yfpFX0ZMavHkcIeHiO1,91
Life Goes On,['BTS'],249gnXrbfmV8NG6jTEMSwD,91
Dynamite,['BTS'],4saklk6nie3yiGePpBwUoc,91
DÁKITI,"['Bad Bunny', 'Jhay Cortez']",4MzXwWMhyBbmu6hOcLVD49,91
Head & Heart (feat. MNEK),"['Joel Corry', 'MNEK']",6cx06DFPPHchuUAcTxznu9,91
La Nota,"['Manuel Turizo', 'Rauw Alejandro', 'Myke Towers']",7ndTONDDRFGiPnnhOzOXxq,91
Bandido,"['Myke Towers', 'Juhn']",1xK1Gg9SxG8fy2Ya373oqb,91
All I Want for Christmas Is You,['Mariah Carey'],0bYg9bo50gSsH3LtXe2SQn,90
Someone You Loved,['Lewis Capaldi'],7qEHsqek33rTcFNT9PFqLf,90
Levitating (feat. DaBaby),"['Dua Lipa', 'DaBaby']",463CkQjx2Zk1yXoBuierM9,90
Lemonade,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",02kDW379Yfd5PzW5A6vuGt,90
Holy (feat. Chance The Rapper),"['Justin Bieber', 'Chance the Rapper']",5u1n1kITHCxxp8twBcZxWy,90
Afterglow,['Ed Sheeran'],0E4Y1XIbs8GrAT1YqVy6dq,90
TE MUDASTE,['Bad Bunny'],5RubKOuDoPn5Kj5TLVxSxY,90
Paradise (feat. Dermot Kennedy),"['MEDUZA', 'Dermot Kennedy']",6ft4hAq6yde8jPZY2i5zLr,90
Goosebumps,['HVME'],20McUFi8KCIVdNDLrkTDuZ,90
Relación - Remix,"['Sech', 'Daddy Yankee', 'J Balvin', 'ROSALÍA', 'Farruko']",35UUpTmrcFXNIVIN26ujXl,90
Chica Ideal,"['Sebastian Yatra', 'Guaynaa']",21N4Buj4xsyLb218lYle61,90
La Tóxica,['Farruko'],15OjBeqNX3bShsGYQbteRv,90
Vida de Rico,['Camilo'],73nAK3HgQK8dak83Y2WQ8F,90
Sweater Weather,['The Neighbourhood'],2QjOHCTQ1Jl3zawyYOpxh6,89
The Box,['Roddy Ricch'],0nbXyq5TXYPCO7pr3N8S4I,89
Circles,['Post Malone'],21jGcNKet2qwijlDFuPiPb,89
Dance Monkey,['Tones And I'],2XU0oxnq2qxCpomAAuJY8K,89
Breaking Me,"['Topic', 'A7S']",3H7ihDc1dqLriiWXwsc2po,89
Laugh Now Cry Later (feat. Lil Durk),"['Drake', 'Lil Durk']",2SAqBLGA283SUiwJ3xOUVI,89
willow,['Taylor Swift'],0lx2cLdOt3piJbcaXIV74f,89
Put Your Records On,['Ritt Momney'],6AGOKlMZWLCaEJGnaROtF9,89
death bed (coffee for your head),"['Powfu', 'beabadoobee']",7eJMfftS33KTjuF7lTsMCx,89
Prisoner (feat. Dua Lipa),"['Miley Cyrus', 'Dua Lipa']",5JqZ3oqF00jkT81foAFvqg,89
Take You Dancing,['Jason Derulo'],59qrUpoplZxbIZxk6X0Bm3,89
UN DIA (ONE DAY) (Feat. Tainy),"['J Balvin', 'Tainy', 'Dua Lipa', 'Bad Bunny']",0EhpEsp4L0oRGM0vmeaN5e,89
Una Locura,"['Ozuna', 'J Balvin', 'Chencho Corleone']",5y7DaS3jAc9eZzcSOoUIwU,89
La Curiosidad,"['Jay Wheeler', 'DJ Nelson', 'Myke Towers']",4HYDUMY0xSpeBr0AMY9cUz,89
Mi Niña,"['Wisin', 'Myke Towers', 'Los Legendarios']",2bgcUk2A3jjKbCJ7KPquTi,89
Se Te Nota (with Guaynaa),"['Lele Pons', 'Guaynaa']",11EnQRgRMJwMAesfkB5pnu,89
BEBÉ,"['Camilo', 'El Alfa']",7D7EH7MGyNHWSkqrszerI1,89
Reloj,"['Rauw Alejandro', 'Anuel AA']",7r9ZhitdQBONTFOiJW5mr8,89
Santa Tell Me,['Ariana Grande'],0lizgQ7Qw35od7CYaoMBZb,88
Train Wreck,['James Arthur'],55Am8neGJkdj2ADaM3aw5H,88
Lucid Dreams,['Juice WRLD'],285pBltuF7vW8TeWk8hdRR,88
lovely (with Khalid),"['Billie Eilish', 'Khalid']",0u2P5u6lvoDfwTYjAADbn4,88
Golden,['Harry Styles'],45S5WTQEGOB1VHr1Q4FuPl,88
Memories,['Maroon 5'],2b8fOow8UzyDFAE27YhOZM,88
Body,['Megan Thee Stallion'],0A1hoCfMLkiAgvhWkkucJa,88
Wishing Well,['Juice WRLD'],2U5WueTLIK5WJLD7mvDODv,88
"Lemonade (feat. Gunna, Don Toliver & NAV)","['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",7hxHWCCAIIxFLCzvDgnQHX,88
Savage Love (Laxed - Siren Beat),"['Jawsh 685', 'Jason Derulo']",1xQ6trAsedVPCdbtDAmk0c,88
"Ay, DiOs Mío!",['KAROL G'],7x4ASXYEKfQBCewcZhK776,88
Hawái,['Maluma'],4uoR6qeWeuL4Qeu2qJzkuG,88
Parce (feat. Justin Quiles),"['Maluma', 'Lenny Tavárez', 'Justin Quiles']",4RJz8NfIe09gpKMiRUWKhJ,88
Jeans,['Justin Quiles'],3GtnId3Cm1Xa6joCj08nzW,88
Rockin' Around The Christmas Tree,['Brenda Lee'],2EjXfH91m7f8HiJN1yQg97,87
Daddy Issues,['The Neighbourhood'],5E30LdtzQTGqRvNd7l6kG5,87
goosebumps,['Travis Scott'],6gBFPUFcJLzWGx4lenP6h2,87
Jocelyn Flores,['XXXTENTACION'],7m9OqQk4RVRkw9JJdeAw96,87
Believer,['Imagine Dragons'],0pqnGHJpmpxLKifKRmU6WP,87
All Girls Are The Same,['Juice WRLD'],4VXIryQMWpIdGgYR4TrjT1,87
Robbery,['Juice WRLD'],6Hj9jySrnFppAI0sEMCZpJ,87
Sofia,['Clairo'],7B3z0ySL9Rr0XvZEAjWZzM,87
HIGHEST IN THE ROOM,['Travis Scott'],3eekarcy7kvN4yt5ZFzltW,87
Falling,['Harry Styles'],1ZMiCix7XSAbfAJlEZWMCp,87
Adore You,['Harry Styles'],3jjujdWJ72nww5eGnfs2E7,87
bad guy,['Billie Eilish'],2Fxmhks0bxGSBdJ92vM42m,87
Tusa,"['KAROL G', 'Nicki Minaj']",7k4t7uLgtOxPwTpFmtJNTY,87
Reminds Me Of You,"['Juice WRLD', 'The Kid LAROI']",5YSHygGN9D0mID1NsVd5my,87
Hello (feat. A Boogie Wit da Hoodie),"['Pop Smoke', 'A Boogie Wit da Hoodie']",2r6OAV3WsYtXuXjvJ1lIDi,87
my ex's best friend (with blackbear),"['Machine Gun Kelly', 'blackbear']",7kDUspsoYfLkWnZR7qwHZl,87
pov,['Ariana Grande'],3UoULw70kMsiVXxW0L3A33,87
Daisy,['Ashnikko'],0AUvWawuP0ibk4SQ3sIZjk,87
POPSTAR (feat. Drake),"['DJ Khaled', 'Drake']",6EDO9iiTtwNv6waLwa1UUq,87
Mood Swings (feat. Lil Tjay),"['Pop Smoke', 'Lil Tjay']",5rZlwNFl01HqLWBQGryKSm,87
Wonder,['Shawn Mendes'],5KCbr5ndeby4y4ggthdiAb,87
Hawái - Remix,"['Maluma', 'The Weeknd']",0GzuHFG4Ql6DoyxFRnIk3F,87
Stuck with U (with Justin Bieber),"['Ariana Grande', 'Justin Bieber']",4HBZA5flZLE435QTztThqH,87
GIRL LIKE ME,"['Black Eyed Peas', 'Shakira']",1zLBsSVxETQOfINOLYvT5m,87
